Problem Date,Problem Details,Language,Title,URL
6/9/2026,child travel consent form,en,Canadian passports and other travel documents: Applying in Canada - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports.html
6/9/2026,Je possède l'AVE et j'ai voyagé au canada mais dernièrement la demande de renouvellement ellement de visa usa est refusée. Je veux savoir est ce que l'AVE s'annule aussi,fr,Autorisation de voyage électronique (AVE) - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/visiter-canada/ave.html
6/9/2026,where can i start a application?,en,Document Checklist: Temporary Resident Visa (Visitor Visa) outside of Canada (IMM 5484) - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm5484.html
6/9/2026,Withdraw application,en,Sign in to your IRCC account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/ircc-accounts.html
6/9/2026,contact telephone for asstiance for Imm 544,en,Application for a Permanent Resident Card (PR card) or Permanent Resident Travel Document (PRTD) [IMM 5444] - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm5444.html
6/9/2026,Consultants camerounada au canada,fr,Vérifiez si votre représentant est autorisé - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/representant-immigration-citoyennete/choisir/autorise.html
6/9/2026,applied for PR and yet to get a confirmation it's been 2 years and 6months now,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,How do I check status using the reference number from receipt of payment for application,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
6/9/2026,Consulter mon portail,fr,Connectez-vous à votre compte IRCC - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/comptes-ircc.html
6/9/2026,canadian passport,en,Sign in to your IRCC account - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/ircc-accounts.html
6/9/2026,"Soy ciudadano colombiano, tengo visa de Estados Unidos, quiero hacer crucero por Alaska llegando a algunos puertos de Canada, requiero tramitar visa de turista canadiense. Debo hacerme tomar os datos biometricos? ###############",fr,Découvrez si vous devez fournir vos données biométriques - Canada.ca,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/biometrie/besoin-biometrie.html
6/9/2026,I downloaded the visitor visa but I am seeing that it cannot give the correct information in the pdf,en,Application for visitor visa (temporary resident visa) (IMM 5257) - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm5257.html
6/9/2026,We submitted application for citizenship on 1 Jul 2025 and hove not received an AOR yet. The submission is for Helena Interbrick. Please kindly update when the submission is going to be reviewed. Thank you,en,How to check the status of your IRCC application  - Canada.ca,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html
